Date,SSN,LastName,FirstName,Age,Region,Weight,Height,Temp,Malaria,CellImage
9/27/16,6439439,Mori,Lucina,1,South Cobol,13.07344296,1.2794684,98.51868995,0,Mori_Lucina.png
1/20/11,7909109,Ferrell,Emma,13,Foobar,108.284764,4.599546984,98.70993006,0,Ferrell_Emma.png
8/24/13,8041623,Schnob,Flipper,74,Fortransylvania,188.4173483,5.586686562,99.46467171,1,Schnob_Flipper.png
7/8/06,3432091,Pinto-Lobo,Nolana,7,Fortransylvania,53.6270063,3.222143933,99.34337375,1,Pinto-Lobo_Nolana.png
12/19/12,1809438,Mistry,Randie,27,Pythonalia,202.0548595,6.10732546,98.59418515,0,Mistry_Randie.png
7/27/17,3205674,Sugandi,Dolorita,10,Fortransylvania,98.46884399,3.472483942,98.63387104,0,Sugandi_Dolorita.png
10/1/06,8239955,Di Cosola,Darcee,7,South Cobol,68.19803795,3.337853542,98.56361691,0,Di Cosola_Darcee.png
12/10/18,9942098,Stach,Leo,69,Foobar,190.847432,5.378233082,98.62904146,0,Stach_Leo.png
10/17/16,7373420,Lehman,Kata,13,Pythonalia,100.5381546,5.055005391,98.67204349,0,Lehman_Kata.png
10/22/12,8779432,Genova,Demetre,21,Foobar,152.3217881,5.101374997,98.56332846,0,Genova_Demetre.png
10/2/15,1623528,Xayaraj,Lemar,47,Fortransylvania,145.4374632,5.814791601,98.5934365,0,Xayaraj_Lemar.png
2/23/12,7902008,Iskandar,Martie,36,Foobar,129.0551413,5.213839034,98.60723008,0,Iskandar_Martie.png
5/26/00,5747500,DeBrun,,61,North Cobol,123.1459167,7.056386497,98.56116522,0,DeBrun_Monty.png
3/2/15,3135606,Stetter,Pearla,26,Pythonalia,253.5379763,5.524675864,98.53523544,0,Stetter_Pearla.png
6/10/16,1274763,Kurian,Donovan,29,North Cobol,179.3379055,5.764420251,100.1409062,1,Kurian_Donovan.png
11/30/08,7810672,Adey,Emmit,44,Angulara,164.9615656,6.639260384,98.54064583,0,Adey_Emmit.png
11/2/03,1254441,Couto,Cesya,43,New Java,139.7763673,4.915378924,98.54481228,0,Couto_Cesya.png
4/14/04,1552928,Noorbhai,Axel,41,Objective Sea,149.3525168,5.575912777,98.5281173,0,Noorbhai_Axel.png
3/9/06,6451822,FISOPN,Allen,86,New Java,164.1067801,5.657649704,98.61530245,0,FISOPN_Allen.png
1/28/07,1388052,Broughton,Randene,43,New Java,144.715275,5.659272917,98.57807228,0,Broughton_Randene.png
3/31/10,5675796,StJohn,Sanson,14,Pythonalia,124.7462311,3.828984796,98.56535273,0,StJohn_Sanson.png
7/3/09,6393848,Nentwich,Mortie,12,Objective Sea,102.9006923,4.452930969,98.70389513,0,Nentwich_Mortie.png
5/12/06,7831933,Kell,Kirby,95,Foobar,205.0302208,4.25459734,98.67027449,0,Kell_Kirby.png
7/30/13,9392506,Baader,Lincoln,47,New Java,118.9701437,5.850204438,98.5618215,0,Baader_Lincoln.png
11/30/17,5055009,Stephenson,Tiphani,92,New Java,178.9610584,5.654247029,98.54713219,0,Stephenson_Tiphani.png
4/12/00,3902069,Surreau,Deina,44,Foobar,189.3943456,4.108186469,98.60739056,0,Surreau_Deina.png
2/1/14,6686153,Coyle,Verge,30,Pythonalia,168.3581625,5.932847545,100.0837312,1,Coyle_Verge.png
2/12/09,9275490,Hartford,Albina,60,Pythonalia,117.2427932,5.439380793,98.61837126,0,Hartford_Albina.png
1/3/12,8445131,Burchby,Kaylee,5,North Cobol,57.98814842,2.061913334,98.70761318,0,Burchby_Kaylee.png
